model_name,target_col,rmse,mean_percentage_deviation
Random Forest,Avg. CPM,0.5376428806006921,150.33187953413926
XGBoost,Avg. CPM,0.5424182752786654,143.43518688233036
KNN,Avg. CPM,0.49722781575554986,119.21113056104394
Decision Tree,Avg. CPM,1.0621014422492905,167.95861003645032
SVR,Avg. CPM,0.45069376163029395,124.62184258215422
Random Forest,Impr.,38.86673040689069,143.25303543594933
XGBoost,Impr.,42.34275281057379,150.0233582464576
KNN,Impr.,48.74118833059196,204.9766223547125
Decision Tree,Impr.,49.19158258273372,167.62372869735685
SVR,Impr.,38.868773865503194,42.49625930684426
Random Forest,Interactions,2.044718965949539,77.06700364710437
XGBoost,Interactions,2.160376980698153,81.21938631205705
KNN,Interactions,2.1170899875113243,78.86232650090463
Decision Tree,Interactions,2.6522125394926994,127.85297554604665
SVR,Interactions,1.915627000805908,85.13830694471902
